Episode,Name,Sentence
Episode 1,cersei lannister,And have you bled yet?
Episode 1,sansa stark,"No, Your Grace."
Episode 1,cersei lannister,And your dress. Did you make it?
Episode 1,cersei lannister,Such talent. You must make something for me.
Episode 1,cersei lannister,I hear we might share a grandchild someday.
Episode 1,catelyn stark,I hear the same.
Episode 1,cersei lannister,Your daughter will do well in the capital. Such a beauty shouldn't stay hidden up here forever.
Episode 1,jaime lannister,I hear we might be neighbors soon. I hope it's true.
Episode 1,jaime lannister,"I'm sure we'll have a tournament to celebrate the new title, if you accept. It would be good to have you in the field. The competition has become a bit stale."
Episode 1,jaime lannister,No? Getting a little old for it?
Episode 1,jaime lannister,Well said.
Episode 1,sansa stark,Arya!
Episode 1,robb stark,Time for bed.
Episode 1,catelyn stark,I won't let him take you.
Episode 1,catelyn stark,"I'll say, ‘Listen, fat man, you are not taking my husband anywhere. He belongs to me now.'"
Episode 1,catelyn stark,He only stops eating when it's time for a drink.
Episode 1,catelyn stark,This was sent from the Eyrie. What's she doing at the Eyrie? She hasn't been back there since her wedding.
Episode 1,catelyn stark,She's fled the capital. She says Jon Arryn was murdered. By the Lannisters. She says the king is in danger.
Episode 1,catelyn stark,"Lysa's head would be on a spike right now if the wrong people had found that letter. Do you think she would risk her life, her son's life, if she wasn't certain her husband was murdered?"
Episode 1,catelyn stark,They murdered the last Hand. Now you want Ned to take the job.
Episode 1,catelyn stark,He spent half his life fighting Robert's wars. He owes him nothing. Your father and brother rode south once on a king's demand.
Episode 1,jorah mormont,A small gift for the new Khaleesi. Songs and histories from the Seven Kingdoms.
Episode 1,daenerys targaryen,"Thank you, ser. Are you from my country?"
Episode 1,jorah mormont,"Ser Jorah Mormont of Bear Island. I served your father for many years. Gods be good, I hope to always serve the rightful king."
Episode 1,daenerys targaryen,"Thank you, Magister."
Episode 1,daenerys targaryen,"She's beautiful. … Ser Jorah, I don't know how to say ‘thank you' in Dothraki."
Episode 1,jorah mormont,There is no word for ‘thank you' in Dothraki.
Episode 1,daenerys targaryen,Do you know the Common Tongue?
Episode 1,daenerys targaryen,Is ‘no' the only word that you know?
Episode 1,tyrion lannister,"If I get through this without squirting from one end or the other, it will be a miracle."
Episode 1,tyrion lannister,The greatest in the land. My spear never misses.
Episode 1,cersei lannister,Stop. STOP.
Episode 1,jaime lannister,Are you completely mad?
Episode 1,cersei lannister,He saw us.
Episode 1,jaime lannister,It's all right. It's all right.
Episode 1,cersei lannister,He saw us!
Episode 1,jaime lannister,"I heard you the first time. Quite the little climber, aren't you? How old are you, boy?"
Episode 1,jaime lannister,Ten.
Episode 1,jaime lannister,The things I do for love.
Episode 2,jorah mormont,"You need to drink, child... And eat."
Episode 2,daenerys targaryen,Isn't there anything else?
Episode 2,jorah mormont,The Dothraki have two things in abundance
Episode 2,jorah mormont,"We're still not far from Pentos, your Grace. Magister Illyrio has extended his hospitality. You'd be more comfortable there."
Episode 2,jorah mormont,"As you wish, your Grace."
Episode 2,jorah mormont,Selling to one... Some poachers I caught on my land.
Episode 2,tyrion lannister,"Before you go, you will call on Lord and Lady Stark and offer your sympathies."
Episode 2,tyrion lannister,None. But it is expected of you. Your absence has already been noted.
Episode 2,tyrion lannister,One word and I'll hit you again.
Episode 2,tyrion lannister,"Go! Tell her. But first you will get to Lord and Lady Stark and you will fall on your knees in front of them and tell them how very sorry you are, that you are at their service, and that all your prayers are with them. Do you understand?"
Episode 2,tyrion lannister,Do you understand?
Episode 2,tyrion lannister,"I hope so. If he forgets, be a good dog and remind him. Time for breakfast..."
Episode 2,tyrion lannister,"Bread. And two of those little fish. And a mug of dark beer to wash it down. And bacon, burnt black."
Episode 2,jaime lannister,Little brother.
Episode 2,tyrion lannister,Beloved siblings.
Episode 2,tyrion lannister,Apparently not.
Episode 2,cersei lannister,What do you mean?
Episode 2,tyrion lannister,The Maester says the boy may live.
Episode 2,cersei lannister,"It's no mercy, letting a child linger in such pain."
Episode 2,tyrion lannister,Only the gods know for certain. All the rest of us can do is pray. The charms of the north seem entirely lost on you.
Episode 2,cersei lannister,I still can't believe you're going. It's ridiculous even for you.
Episode 2,tyrion lannister,"Where's your sense of wonder? The greatest structure ever built, the intrepid men of the Night's Watch, the wintry abode of the White Walkers."
Episode 2,jaime lannister,Tell me you're not thinking of taking the black.
Episode 2,tyrion lannister,And go celibate? The whores would go begging from Dorne to Casterly Rock. I just want to stand on top of the Wall and piss off the edge of the world.
Episode 2,cersei lannister,The children don't need to hear your filth. Come.
Episode 2,jaime lannister,"Even if the boy lives, he'll be a cripple, a grotesque. Give me a good clean death any day."
Episode 2,tyrion lannister,"Speaking for the grotesques, I'd have to disagree. Death is so final, whereas life... Life is full of possibilities. I hope the boy does wake. I'd be very interested to hear what he has to say."
Episode 2,jaime lannister,"My dear brother, there are times you make me wonder whose side you're on."
Episode 2,tyrion lannister,"My dear brother, you wound me. You know how much I love my family."
Episode 2,cersei lannister,Please.
Episode 2,catelyn stark,"I would have dressed, your Grace."
Episode 2,cersei lannister,"This is your home. I'm your guest. Handsome one, isn't he? I lost my first boy, a little black-haired beauty. He was a fighter too... Tried to beat the fever that took him. Forgive me. It's the last thing you need to hear right now."
Episode 2,catelyn stark,I never knew.
Episode 2,cersei lannister,"It was years ago. Robert was crazed, beat his hands bloody on the wall, all the things men do to show you how much they care... The boy looked just like him. Such a little thing... A bird without feathers. They came to take his body away and Robert held me. I screamed and I battled, but he held me. That little bundle. They took him away and I never saw him again. Never have visited the crypt, never. I pray to the Mother every morning and night that she return your child to you."
Episode 2,catelyn stark,I am grateful..
Episode 2,cersei lannister,Perhaps this time she'll listen.
Episode 2,jaime lannister,A sword for the wall?
Episode 2,jon snow,I already have one.
Episode 2,jaime lannister,Good man. Have you swung it yet?
Episode 2,jon snow,Of course I have.
Episode 2,jaime lannister,"At someone, I mean. It's a strange thing, the first time you cut a man. You realize we're nothing but sacks of meat and blood and some bone to keep it all standing. Let me thank you ahead of time for guarding us all from the perils beyond the Wall... Wildlings and White Walkers and whatnot. We're grateful to have good, strong men like you protecting us."
Episode 2,jon snow,We've guarded the Kingdoms for 8 000 years.
Episode 2,jaime lannister,"Is it ""we"" already? Have you taken your vows then?"
Episode 2,jon snow,Soon enough.
Episode 2,jaime lannister,"Give my regards to the Night's Watch. I'm sure it will be thrilling to serve in such an elite force. And if not, It's only for life."
Episode 2,arya stark,"Thank you, Nymeria. Septa Mordane says I have to do it again. ""My things weren't properly folded"", she says. Who cares how they're folded?! They're going to get all messed up anyway."
Episode 2,jon snow,It's good you've got help.
Episode 2,arya stark,"Watch. Nymeria, gloves."
Episode 2,jon snow,Impressive.
Episode 2,arya stark,"Shut up. Nymeria, gloves!"
Episode 2,jon snow,I have something for you. And it has to be packed very carefully.
Episode 2,arya stark,A present?
Episode 2,jon snow,Close the door. This is no toy. Be careful you don't cut yourself.
Episode 2,arya stark,It's so skinny.
Episode 2,jon snow,"So are you. I had the blacksmith make it for you special. It won't hack a man's head off, but it can poke him full of holes if you're quick enough."
Episode 2,arya stark,I can be quick.
Episode 2,jon snow,You'll have to work at it every day. How does it feel? Do you like the balance?
Episode 2,arya stark,I think so.
Episode 2,jon snow,First lesson
Episode 2,arya stark,I know which end to use.
Episode 2,jon snow,"I'm going to miss you... Careful... All the best swords have names, you know."
Episode 2,arya stark,Sansa can keep her sewing needles. I've got a needle of my own.
Episode 2,jon snow,I came to say goodbye to Bran.
Episode 2,catelyn stark,You've said it.
Episode 2,jon snow,"I wish I could be here when you wake up. I'm going north with Uncle Benjen. I'm taking the black. I know we always talked about seeing the Wall together, but you'll be able to come visit me at Castle Black when you're better. I'll know my way around by then. I'll be a sworn brother of the Night's Watch. We can go out walking beyond the Wall, if you're not afraid."
Episode 2,catelyn stark,I want you to leave.
Episode 2,catelyn stark,17 years ago you rode off with Robert Baratheon. You came back a year later with another woman's son. And now you're leaving again.
Episode 2,catelyn stark,"That's what men always say when honor calls. That's what you tell your families, tell yourselves. You do have a choice. And you've made it. I can't do it, Ned. I really can't."
Episode 2,robb stark,You've said goodbye to Bran? He's not going to die. I know it.
Episode 2,jon snow,You Starks are hard to kill.
Episode 2,robb stark,My mother?
Episode 2,jon snow,She was very kind.
Episode 2,robb stark,"Good. Next time I see you, you'll be all in black."
Episode 2,jon snow,It was always my color.
Episode 2,robb stark,"Farewell, Snow."
Episode 2,jon snow,"And you, Stark."
Episode 2,jon snow,"Is my mother alive? Does she know about me? Where I am, where I'm going? Does she care?"
Episode 2,tyrion lannister,Rapers. They were given a choice no doubt... Castration or the Wall. Most choose the knife. Not impressed by your new brothers? Lovely thing about the Watch... You discard your old family and get a whole new one.
Episode 2,jon snow,Why do you read so much?
Episode 2,tyrion lannister,Look at me and tell me what you see.
Episode 2,jon snow,Is this a trick?
Episode 2,tyrion lannister,"What you see is a dwarf. If I'd been born a peasant they might've left me out in the woods to die. Alas, I was born a Lannister of Casterly Rock. Things are expected of me. My father was the Hand of the King for 20 years."
Episode 2,jon snow,Until your brother killed that King.
Episode 2,tyrion lannister,"Yes, until my brother killed him. Life is full of these little ironies. My sister married the new King and my repulsive nephew will be King after him. I must do my part for the honor of my house, wouldn't you agree? But how? Well, my brother has his sword and I have my mind. And a mind needs books like a sword needs a whetstone. That's why I read so much. And you? What's your story, bastard?"
Episode 2,jon snow,"Ask me nicely and maybe I'll tell you, dwarf."
Episode 2,tyrion lannister,"A bastard boy with nothing to inherit, off to join the ancient order of the Night's Watch, alongside his valiant brothers-in-arms."
Episode 2,jon snow,The Night's Watch protects the realm from...
Episode 2,tyrion lannister,"Yes yes, against grumpkins and snarks and all the other monsters your wet nurse warned you about. You're a smart boy. You don't believe that nonsense... Everything's better with some wine in the belly."
Episode 2,catelyn stark,Talk to Poole about it.
Episode 2,catelyn stark,I don't care about appointments!
Episode 2,robb stark,I'll make the appointments. We'll talk about it first thing in the morning.
Episode 2,robb stark,When was the last time you left this room?
Episode 2,catelyn stark,I have to take care of him.
Episode 2,robb stark,"He's not going to die, mother. Maester Luwin says the most dangerous time has passed."
Episode 2,catelyn stark,What if he's wrong? Bran needs me.
Episode 2,robb stark,"Rickon needs you. He's six. He doesn't know what's happening. He follows me around all day, clutching my leg, crying..."
Episode 2,catelyn stark,Close the windows! I can't stand it! Please make them stop!
Episode 2,robb stark,Fire. You stay here. I'll come back.
Episode 2,catelyn stark,No!
Episode 2,daenerys targaryen,Have you ever seen a dragon?
Episode 2,daenerys targaryen,Everywhere? Even in the east?
Episode 2,daenerys targaryen,The moon?
Episode 2,daenerys targaryen,Leave me with her. Why did the trader from Garth tell you these stories?
Episode 2,daenerys targaryen,How old were you?
Episode 2,daenerys targaryen,Nine?!
Episode 2,daenerys targaryen,Can you teach me how to make the Khal happy?
Episode 2,daenerys targaryen,Will it take three years?
Episode 2,catelyn stark,What I am about to tell you must remain between us. I don't think Bran fell from that tower. I think he was thrown.
Episode 2,catelyn stark,Someone tried to kill him twice. Why? Why murder an innocent child? Unless he saw something he wasn't meant to see.
Episode 2,theon greyjoy,"Saw what, my lady?"
Episode 2,catelyn stark,I don't know. But I would stake my life the Lannisters are involved. We already have reason to suspect their loyalty to the crown.
Episode 2,robb stark,They come into our home and try to murder my brother? If it's war they want...
Episode 2,theon greyjoy,"If it comes to that, you know I'll stand behind you."
Episode 2,catelyn stark,I don't trust a raven to carry these words.
Episode 2,robb stark,I'll ride to King's Landing.
Episode 2,catelyn stark,No. There must always be a Stark in Winterfell. I will go myself.
Episode 2,robb stark,"Mother, you can't."
Episode 2,catelyn stark,I must.
Episode 2,catelyn stark,Too large a party attracts unwanted attention. I don't want the Lannisters to know I'm coming.
Episode 2,robb stark,What about Bran?
Episode 2,catelyn stark,I have prayed to the Seven for more than a month. Bran's life is in their hands now.
Episode 2,daenerys targaryen,Finish a man?
Episode 2,daenerys targaryen,"Well, she sounds like an interesting woman. I don't think that Drogo will like it with me on top."
Episode 2,daenerys targaryen,I don't think that this is the Dothraki way.
Episode 2,daenerys targaryen,No. No. Tonight I would look upon your face.
Episode 2,sansa stark,"Pardon me, Ser."
Episode 2,sansa stark,"I'm sorry if I offended you, Ser. Why won't he speak to me?"
Episode 2,sansa stark,"Stay, Lady. I probably shouldn't have any more. Father only lets us have one cup at feasts."
Episode 2,sansa stark,Arya!
Episode 2,arya stark,What are you doing here? Go away.
Episode 2,sansa stark,He the butcher's boy.
Episode 2,arya stark,He's my friend.
Episode 2,arya stark,Stop it!
Episode 2,sansa stark,"Arya, stay out of this."
Episode 2,sansa stark,"No no, stop it, stop it, both of you. You're spoiling it. You're spoiling everything!"
Episode 2,arya stark,Nymeria!
Episode 2,sansa stark,"Arya, leave him alone. My prince, my poor prince, look what they did to you. Stay here, I'll go back to the inn and bring help."
Episode 2,arya stark,You've got to go. They'll kill you for what you did to Joffrey. Go on... run. Go! Leave now!
Episode 2,arya stark,Go!
Episode 2,arya stark,I'm sorry.
Episode 2,arya stark,No.
Episode 2,cersei lannister,How dare you speak to your King in that manner?
Episode 2,cersei lannister,Your girl and that butcher's boy attacked my son. That animal of hers nearly tore his arm off.
Episode 2,arya stark,That's not true! She just... Bit him a little. He was hurting Mycah.
Episode 2,cersei lannister,Joffrey told us what happened. You and that boy beat him with clubs while you set your wolf on him.
Episode 2,arya stark,That's not what happened!
Episode 2,arya stark,Liar!
Episode 2,cersei lannister,"She's not. Sansa, come here, darling."
Episode 2,sansa stark,I don't know. I don't remember. Everything happened so fast. I didn't see.
Episode 2,arya stark,Liar! Liar liar liar!
Episode 2,arya stark,Liar liar liar!
Episode 2,cersei lannister,She's as wild as that animal of hers. I want her punished.
Episode 2,cersei lannister,Joffrey will bear these scars for the rest of his life.
Episode 2,cersei lannister,And what of the direwolf? What of the beast that savaged your son?
Episode 2,cersei lannister,We have another wolf.
Episode 2,sansa stark,"He doesn't mean Lady, does he? No no, not Lady! Lady didn't bite anyone! She's good!"
Episode 2,arya stark,Lady wasn't there! You leave her alone!
Episode 2,sansa stark,Stop them. Don't let them do it. Please! It wasn't Lady!
Episode 2,cersei lannister,Where is the beast?
Episode 2,cersei lannister,"Ser Ilyn, do me the honor."
Episode 2,cersei lannister,Is this some trick?
Episode 3,jaime lannister,"Thank the gods you're here, Stark. About time we had some stern northern leadership."
Episode 3,jaime lannister,"Sturdy old thing. How many kings' asses have polished it, I wonder? What's the line? The King shits and the Hand wipes."
Episode 3,jaime lannister,"I know. People have been swinging at me for years, but they always seem to miss."
Episode 3,jaime lannister,"I have a knack for it. It must be strange for you coming into this room. I was standing right here when it happened. He was very brave, your brother. Your father too. They didn't deserve to die like that. Nobody deserves to die like that."
Episode 3,jaime lannister,"500 men just stood there and watched. All the great knights of the Seven Kingdoms. You think anyone said a word, lifted a finger? No, Lord Stark. 500 men and this room was silent as a crypt. Except for the screams, of course, and the Mad King laughing. And later... When I watched the Mad King die, I remembered him laughing as your father burned... It felt like justice."
Episode 3,jaime lannister,"Tell me... If I'd stabbed the Mad King in the belly instead of the back, would you admire me more?"
Episode 3,varys,Lord Stark.
Episode 3,varys,I was grievously sorry to hear of your troubles on the Kingsroad. We are all praying for Prince Joffrey's full recovery.
Episode 3,petyr baelish,"But we have a Kingdom to look after. I've hoped to meet you for some time, Lord Stark. No doubt Lady Catelyn has mentioned me."
Episode 3,petyr baelish,All too well. I still carry a token of his esteem from navel to collarbone.
Episode 3,petyr baelish,"It wasn't the man that I chose, my Lord. It was Catelyn Tully. A woman worth fighting for, I'm sure you'll agree."
Episode 3,varys,His Grace has many cares. He entrusts some small matters to us that we might lighten the load.
Episode 3,petyr baelish,We are the lords of small matters here.
Episode 3,petyr baelish,"Mmm, how much?"
Episode 3,petyr baelish,"I'll have to borrow it. The Lannisters will accommodate, I expect. We already owe Lord Tywin 3 million gold. What's another 80,000?"
Episode 3,petyr baelish,I'm telling you the Crown is six million in debt.
Episode 3,petyr baelish,The Master of Coin finds the money. The King and the Hand spend it.
Episode 3,petyr baelish,"As you will. But still, we'd best make our plans."
Episode 3,varys,"You are the King's Hand, Lord Stark, we serve at your pleasure."
Episode 3,cersei lannister,"Please, it's nearly healed."
Episode 3,cersei lannister,"A King should have scars, you fought off a direwolf. You're a warrior like your father."
Episode 3,cersei lannister,"That's not true. You killed the beast. You only spared the girl because of the love your father bears her father. When Aerys Targaryen sat on the Iron Throne, your father was a rebel and a traitor. Someday you'll sit on the throne and the truth will be what you make it."
Episode 3,cersei lannister,"Yes. She's very beautiful and young. If you don't like her, you only need to see her on formal occasions and when the time comes, to make little princes and princesses. And if you'd rather fuck painted whores, you'll fuck painted whores. And if you'd rather lie with noble virgins, so be it. You are my darling boy and the world will be exactly as you want it to be. Do something nice for the Stark girl."
Episode 3,cersei lannister,"No, but you will. The occasional kindness will spare you all sorts of trouble down the road."
Episode 3,cersei lannister,How would you handle them?
Episode 3,cersei lannister,A royal army?
Episode 3,cersei lannister,And if the northerners rebel?
Episode 3,cersei lannister,"And these 10,000 northern troops, would they fight for you or their lord?"
Episode 3,cersei lannister,"But you've just invaded their homeland, asked them to kill their brothers."
Episode 3,cersei lannister,"The North cannot be held... not by an outsider. It's too big and too wild. When the winter comes, the Seven gods together couldn't save you and your royal army. A good King knows when to save his strength... And when to destroy his enemies."
Episode 3,cersei lannister,Everyone who isn't us is an enemy.
Episode 3,arya stark,I'm practicing.
Episode 3,sansa stark,Practicing for what?
Episode 3,arya stark,The Prince.
Episode 3,arya stark,He's a liar and a coward and he killed my friend.
Episode 3,sansa stark,The Hound killed your friend.
Episode 3,arya stark,The Hound does whatever the Prince tells him to do.
Episode 3,sansa stark,You're an idiot.
Episode 3,arya stark,"You're a liar. And if you told the truth, Mycah would be alive."
Episode 3,sansa stark,I haven't played with dolls since I was eight. May I be excused?
Episode 3,arya stark,Go away!
Episode 3,arya stark,Mine.
Episode 3,arya stark,I wasn't playing. And I don't want to be a lady.
Episode 3,arya stark,It's called Needle.
Episode 3,arya stark,Stick 'em with the pointy end.
Episode 3,arya stark,I was trying to learn. I asked Mycah to practice with me. I asked him. It was my fault.
Episode 3,arya stark,"I hate them! I hate all of them. The Hound, the Queen and the King and Joffrey and Sansa."
Episode 3,arya stark,So was I! He is a liar.
Episode 3,arya stark,But how you can let her marry someone like that?
Episode 3,arya stark,Winter is coming.
Episode 3,arya stark,I don't hate her. Not really.
Episode 3,arya stark,I can keep it?
Episode 3,robb stark,What are you telling him now?
Episode 3,robb stark,Get your supper. I want some time with him. One time she told me the sky is blue because we live inside the eye of a blue-eyed giant named Macumber.
Episode 3,robb stark,"How do you feel? You still don't remember anything? I've seen you climb a thousand times. In the wind, in the rain... A thousand times. You never fall."
Episode 3,robb stark,Don't ever say that.
Episode 3,catelyn stark,It's nine years since I've set foot in the capital. And no one knew who I was the last time I came either.
Episode 3,catelyn stark,I would. We've done nothing wrong.
Episode 3,catelyn stark,"Instructed? I don't know who's providing your instructions, but..."
Episode 3,petyr baelish,Cat! Go on. Go upstairs.
Episode 3,catelyn stark,You little worm! You take me for some back-alley Sally you can drag into a…
Episode 3,petyr baelish,I meant no disrespect to you of all people.
Episode 3,catelyn stark,How dare you bring me here! Have you lost your mind?
Episode 3,petyr baelish,No one will come looking for you here. Isn't that what like you wanted? I'm truly sorry... about the locale.
Episode 3,catelyn stark,How did you know I was coming to King's Landing?
Episode 3,petyr baelish,A dear friend told me.
Episode 3,varys,Lady Stark.
Episode 3,catelyn stark,Lord Varys.
Episode 3,varys,To see you again after so many years is a blessing. Your poor hands.
Episode 3,catelyn stark,How did you know I was coming?
Episode 3,varys,"Knowledge is my trade, my Lady. Did you bring the dagger with you, by any chance? My little birds are everywhere. Even in the north. They whisper to me the strangest stories. Valyrian steel."
Episode 3,catelyn stark,Do you know whose dagger this is?
Episode 3,varys,I must admit I do not.
Episode 3,petyr baelish,"Well well, this is an historic day. Something you don't know that I do. There's only one dagger like this in all of the Seven Kingdoms. It's mine."
Episode 3,catelyn stark,Yours?
Episode 3,petyr baelish,"At least it was, until the tournament on Prince Joffrey's last nameday. I bet on Ser Jaime in the jousting, as any sane man would. When the Knight of the Flowers unseated him, I lost this dagger."
Episode 3,catelyn stark,To whom?
Episode 3,petyr baelish,Tyrion Lannister. The Imp.
Episode 3,tyrion lannister,A charming man.
Episode 3,tyrion lannister,"And how's that going, Commander Mormont?"
Episode 3,tyrion lannister,Good news or bad?
Episode 3,petyr baelish,Good news? Perhaps you'd like to share it with your wife?
Episode 3,petyr baelish,Is she?
Episode 3,petyr baelish,I thought that she'd be safest in here. One of several such establishments I own.
Episode 3,catelyn stark,Ned! [poking her head out of a window]
Episode 3,petyr baelish,"The Starks... Quick tempers, slow minds."
