Sentence,Label
"As you wish, your Grace.",jorah mormont
Selling to one... Some poachers I caught on my land.,jorah mormont
"Before you go, you will call on Lord and Lady Stark and offer your sympathies.",tyrion lannister
None. But it is expected of you. Your absence has already been noted.,tyrion lannister
One word and I'll hit you again.,tyrion lannister
"Go! Tell her. But first you will get to Lord and Lady Stark and you will fall on your knees in front of them and tell them how very sorry you are, that you are at their service, and that all your prayers are with them. Do you understand?",tyrion lannister
Do you understand?,tyrion lannister
"I hope so. If he forgets, be a good dog and remind him. Time for breakfast...",tyrion lannister
"Bread. And two of those little fish. And a mug of dark beer to wash it down. And bacon, burnt black.",tyrion lannister
Little brother.,jaime lannister
Beloved siblings.,tyrion lannister
Apparently not.,tyrion lannister
What do you mean?,cersei lannister
The Maester says the boy may live.,tyrion lannister
"It's no mercy, letting a child linger in such pain.",cersei lannister
Only the gods know for certain. All the rest of us can do is pray. The charms of the north seem entirely lost on you.,tyrion lannister
I still can't believe you're going. It's ridiculous even for you.,cersei lannister
"Where's your sense of wonder? The greatest structure ever built, the intrepid men of the Night's Watch, the wintry abode of the White Walkers.",tyrion lannister
Tell me you're not thinking of taking the black.,jaime lannister
And go celibate? The whores would go begging from Dorne to Casterly Rock. I just want to stand on top of the Wall and piss off the edge of the world.,tyrion lannister
The children don't need to hear your filth. Come.,cersei lannister
"Even if the boy lives, he'll be a cripple, a grotesque. Give me a good clean death any day.",jaime lannister
"Speaking for the grotesques, I'd have to disagree. Death is so final, whereas life... Life is full of possibilities. I hope the boy does wake. I'd be very interested to hear what he has to say.",tyrion lannister
"My dear brother, there are times you make me wonder whose side you're on.",jaime lannister
"My dear brother, you wound me. You know how much I love my family.",tyrion lannister
Please.,cersei lannister
"I would have dressed, your Grace.",catelyn stark
"This is your home. I'm your guest. Handsome one, isn't he? I lost my first boy, a little black-haired beauty. He was a fighter too... Tried to beat the fever that took him. Forgive me. It's the last thing you need to hear right now.",cersei lannister
I never knew.,catelyn stark
"It was years ago. Robert was crazed, beat his hands bloody on the wall, all the things men do to show you how much they care... The boy looked just like him. Such a little thing... A bird without feathers. They came to take his body away and Robert held me. I screamed and I battled, but he held me. That little bundle. They took him away and I never saw him again. Never have visited the crypt, never. I pray to the Mother every morning and night that she return your child to you.",cersei lannister
I am grateful..,catelyn stark
Perhaps this time she'll listen.,cersei lannister
A sword for the wall?,jaime lannister
I already have one.,jon snow
Good man. Have you swung it yet?,jaime lannister
Of course I have.,jon snow
"At someone, I mean. It's a strange thing, the first time you cut a man. You realize we're nothing but sacks of meat and blood and some bone to keep it all standing. Let me thank you ahead of time for guarding us all from the perils beyond the Wall... Wildlings and White Walkers and whatnot. We're grateful to have good, strong men like you protecting us.",jaime lannister
We've guarded the Kingdoms for 8 000 years.,jon snow
"Is it ""we"" already? Have you taken your vows then?",jaime lannister
Soon enough.,jon snow
"Give my regards to the Night's Watch. I'm sure it will be thrilling to serve in such an elite force. And if not, It's only for life.",jaime lannister
"Thank you, Nymeria. Septa Mordane says I have to do it again. ""My things weren't properly folded"", she says. Who cares how they're folded?! They're going to get all messed up anyway.",arya stark
It's good you've got help.,jon snow
"Watch. Nymeria, gloves.",arya stark
Impressive.,jon snow
"Shut up. Nymeria, gloves!",arya stark
I have something for you. And it has to be packed very carefully.,jon snow
A present?,arya stark
Close the door. This is no toy. Be careful you don't cut yourself.,jon snow
It's so skinny.,arya stark
"So are you. I had the blacksmith make it for you special. It won't hack a man's head off, but it can poke him full of holes if you're quick enough.",jon snow
I can be quick.,arya stark
You'll have to work at it every day. How does it feel? Do you like the balance?,jon snow
I think so.,arya stark
First lesson,jon snow
I know which end to use.,arya stark
"I'm going to miss you... Careful... All the best swords have names, you know.",jon snow
Sansa can keep her sewing needles. I've got a needle of my own.,arya stark
I came to say goodbye to Bran.,jon snow
You've said it.,catelyn stark
"I wish I could be here when you wake up. I'm going north with Uncle Benjen. I'm taking the black. I know we always talked about seeing the Wall together, but you'll be able to come visit me at Castle Black when you're better. I'll know my way around by then. I'll be a sworn brother of the Night's Watch. We can go out walking beyond the Wall, if you're not afraid.",jon snow
I want you to leave.,catelyn stark
17 years ago you rode off with Robert Baratheon. You came back a year later with another woman's son. And now you're leaving again.,catelyn stark
"That's what men always say when honor calls. That's what you tell your families, tell yourselves. You do have a choice. And you've made it. I can't do it, Ned. I really can't.",catelyn stark
You've said goodbye to Bran? He's not going to die. I know it.,robb stark
You Starks are hard to kill.,jon snow
My mother?,robb stark
She was very kind.,jon snow
"Good. Next time I see you, you'll be all in black.",robb stark
It was always my color.,jon snow
"Farewell, Snow.",robb stark
"And you, Stark.",jon snow
"Is my mother alive? Does she know about me? Where I am, where I'm going? Does she care?",jon snow
Rapers. They were given a choice no doubt... Castration or the Wall. Most choose the knife. Not impressed by your new brothers? Lovely thing about the Watch... You discard your old family and get a whole new one.,tyrion lannister
Why do you read so much?,jon snow
Look at me and tell me what you see.,tyrion lannister
Is this a trick?,jon snow
"What you see is a dwarf. If I'd been born a peasant they might've left me out in the woods to die. Alas, I was born a Lannister of Casterly Rock. Things are expected of me. My father was the Hand of the King for 20 years.",tyrion lannister
Until your brother killed that King.,jon snow
"Yes, until my brother killed him. Life is full of these little ironies. My sister married the new King and my repulsive nephew will be King after him. I must do my part for the honor of my house, wouldn't you agree? But how? Well, my brother has his sword and I have my mind. And a mind needs books like a sword needs a whetstone. That's why I read so much. And you? What's your story, bastard?",tyrion lannister
"Ask me nicely and maybe I'll tell you, dwarf.",jon snow
"A bastard boy with nothing to inherit, off to join the ancient order of the Night's Watch, alongside his valiant brothers-in-arms.",tyrion lannister
The Night's Watch protects the realm from...,jon snow
"Yes yes, against grumpkins and snarks and all the other monsters your wet nurse warned you about. You're a smart boy. You don't believe that nonsense... Everything's better with some wine in the belly.",tyrion lannister
Talk to Poole about it.,catelyn stark
I don't care about appointments!,catelyn stark
I'll make the appointments. We'll talk about it first thing in the morning.,robb stark
When was the last time you left this room?,robb stark
I have to take care of him.,catelyn stark
"He's not going to die, mother. Maester Luwin says the most dangerous time has passed.",robb stark
What if he's wrong? Bran needs me.,catelyn stark
"Rickon needs you. He's six. He doesn't know what's happening. He follows me around all day, clutching my leg, crying...",robb stark
Close the windows! I can't stand it! Please make them stop!,catelyn stark
Fire. You stay here. I'll come back.,robb stark
No!,catelyn stark
Have you ever seen a dragon?,daenerys targaryen
Everywhere? Even in the east?,daenerys targaryen
The moon?,daenerys targaryen
Leave me with her. Why did the trader from Garth tell you these stories?,daenerys targaryen
How old were you?,daenerys targaryen
Nine?!,daenerys targaryen
Can you teach me how to make the Khal happy?,daenerys targaryen
Will it take three years?,daenerys targaryen
What I am about to tell you must remain between us. I don't think Bran fell from that tower. I think he was thrown.,catelyn stark
Someone tried to kill him twice. Why? Why murder an innocent child? Unless he saw something he wasn't meant to see.,catelyn stark
"Saw what, my lady?",theon greyjoy
I don't know. But I would stake my life the Lannisters are involved. We already have reason to suspect their loyalty to the crown.,catelyn stark
They come into our home and try to murder my brother? If it's war they want...,robb stark
"If it comes to that, you know I'll stand behind you.",theon greyjoy
I don't trust a raven to carry these words.,catelyn stark
I'll ride to King's Landing.,robb stark
No. There must always be a Stark in Winterfell. I will go myself.,catelyn stark
"Mother, you can't.",robb stark
I must.,catelyn stark
Too large a party attracts unwanted attention. I don't want the Lannisters to know I'm coming.,catelyn stark
What about Bran?,robb stark
I have prayed to the Seven for more than a month. Bran's life is in their hands now.,catelyn stark
Finish a man?,daenerys targaryen
"Well, she sounds like an interesting woman. I don't think that Drogo will like it with me on top.",daenerys targaryen
I don't think that this is the Dothraki way.,daenerys targaryen
No. No. Tonight I would look upon your face.,daenerys targaryen
"Pardon me, Ser.",sansa stark
"I'm sorry if I offended you, Ser. Why won't he speak to me?",sansa stark
"Stay, Lady. I probably shouldn't have any more. Father only lets us have one cup at feasts.",sansa stark
Arya!,sansa stark
What are you doing here? Go away.,arya stark
He the butcher's boy.,sansa stark
He's my friend.,arya stark
Stop it!,arya stark
"Arya, stay out of this.",sansa stark
"No no, stop it, stop it, both of you. You're spoiling it. You're spoiling everything!",sansa stark
Nymeria!,arya stark
"Arya, leave him alone. My prince, my poor prince, look what they did to you. Stay here, I'll go back to the inn and bring help.",sansa stark
You've got to go. They'll kill you for what you did to Joffrey. Go on... run. Go! Leave now!,arya stark
Go!,arya stark
I'm sorry.,arya stark
No.,arya stark
How dare you speak to your King in that manner?,cersei lannister
Your girl and that butcher's boy attacked my son. That animal of hers nearly tore his arm off.,cersei lannister
That's not true! She just... Bit him a little. He was hurting Mycah.,arya stark
Joffrey told us what happened. You and that boy beat him with clubs while you set your wolf on him.,cersei lannister
That's not what happened!,arya stark
Liar!,arya stark
"She's not. Sansa, come here, darling.",cersei lannister
I don't know. I don't remember. Everything happened so fast. I didn't see.,sansa stark
Liar! Liar liar liar!,arya stark
Liar liar liar!,arya stark
She's as wild as that animal of hers. I want her punished.,cersei lannister
Joffrey will bear these scars for the rest of his life.,cersei lannister
And what of the direwolf? What of the beast that savaged your son?,cersei lannister
We have another wolf.,cersei lannister
"He doesn't mean Lady, does he? No no, not Lady! Lady didn't bite anyone! She's good!",sansa stark
Lady wasn't there! You leave her alone!,arya stark
Stop them. Don't let them do it. Please! It wasn't Lady!,sansa stark
Where is the beast?,cersei lannister
"Ser Ilyn, do me the honor.",cersei lannister
Is this some trick?,cersei lannister
"Thank the gods you're here, Stark. About time we had some stern northern leadership.",jaime lannister
"Sturdy old thing. How many kings' asses have polished it, I wonder? What's the line? The King shits and the Hand wipes.",jaime lannister
"I know. People have been swinging at me for years, but they always seem to miss.",jaime lannister
"I have a knack for it. It must be strange for you coming into this room. I was standing right here when it happened. He was very brave, your brother. Your father too. They didn't deserve to die like that. Nobody deserves to die like that.",jaime lannister
"500 men just stood there and watched. All the great knights of the Seven Kingdoms. You think anyone said a word, lifted a finger? No, Lord Stark. 500 men and this room was silent as a crypt. Except for the screams, of course, and the Mad King laughing. And later... When I watched the Mad King die, I remembered him laughing as your father burned... It felt like justice.",jaime lannister
"Tell me... If I'd stabbed the Mad King in the belly instead of the back, would you admire me more?",jaime lannister
Lord Stark.,varys
I was grievously sorry to hear of your troubles on the Kingsroad. We are all praying for Prince Joffrey's full recovery.,varys
"But we have a Kingdom to look after. I've hoped to meet you for some time, Lord Stark. No doubt Lady Catelyn has mentioned me.",petyr baelish
All too well. I still carry a token of his esteem from navel to collarbone.,petyr baelish
"It wasn't the man that I chose, my Lord. It was Catelyn Tully. A woman worth fighting for, I'm sure you'll agree.",petyr baelish
His Grace has many cares. He entrusts some small matters to us that we might lighten the load.,varys
We are the lords of small matters here.,petyr baelish
"Mmm, how much?",petyr baelish
"I'll have to borrow it. The Lannisters will accommodate, I expect. We already owe Lord Tywin 3 million gold. What's another 80,000?",petyr baelish
I'm telling you the Crown is six million in debt.,petyr baelish
The Master of Coin finds the money. The King and the Hand spend it.,petyr baelish
"As you will. But still, we'd best make our plans.",petyr baelish
"You are the King's Hand, Lord Stark, we serve at your pleasure.",varys
"Please, it's nearly healed.",cersei lannister
"A King should have scars, you fought off a direwolf. You're a warrior like your father.",cersei lannister
"That's not true. You killed the beast. You only spared the girl because of the love your father bears her father. When Aerys Targaryen sat on the Iron Throne, your father was a rebel and a traitor. Someday you'll sit on the throne and the truth will be what you make it.",cersei lannister
"Yes. She's very beautiful and young. If you don't like her, you only need to see her on formal occasions and when the time comes, to make little princes and princesses. And if you'd rather fuck painted whores, you'll fuck painted whores. And if you'd rather lie with noble virgins, so be it. You are my darling boy and the world will be exactly as you want it to be. Do something nice for the Stark girl.",cersei lannister
"No, but you will. The occasional kindness will spare you all sorts of trouble down the road.",cersei lannister
How would you handle them?,cersei lannister
A royal army?,cersei lannister
And if the northerners rebel?,cersei lannister
"And these 10,000 northern troops, would they fight for you or their lord?",cersei lannister
"But you've just invaded their homeland, asked them to kill their brothers.",cersei lannister
"The North cannot be held... not by an outsider. It's too big and too wild. When the winter comes, the Seven gods together couldn't save you and your royal army. A good King knows when to save his strength... And when to destroy his enemies.",cersei lannister
Everyone who isn't us is an enemy.,cersei lannister
I'm practicing.,arya stark
Practicing for what?,sansa stark
The Prince.,arya stark
He's a liar and a coward and he killed my friend.,arya stark
The Hound killed your friend.,sansa stark
The Hound does whatever the Prince tells him to do.,arya stark
You're an idiot.,sansa stark
"You're a liar. And if you told the truth, Mycah would be alive.",arya stark
I haven't played with dolls since I was eight. May I be excused?,sansa stark
Go away!,arya stark
Mine.,arya stark
I wasn't playing. And I don't want to be a lady.,arya stark
It's called Needle.,arya stark
Stick 'em with the pointy end.,arya stark
I was trying to learn. I asked Mycah to practice with me. I asked him. It was my fault.,arya stark
"I hate them! I hate all of them. The Hound, the Queen and the King and Joffrey and Sansa.",arya stark
So was I! He is a liar.,arya stark
But how you can let her marry someone like that?,arya stark
Winter is coming.,arya stark
I don't hate her. Not really.,arya stark
I can keep it?,arya stark
What are you telling him now?,robb stark
Get your supper. I want some time with him. One time she told me the sky is blue because we live inside the eye of a blue-eyed giant named Macumber.,robb stark
"How do you feel? You still don't remember anything? I've seen you climb a thousand times. In the wind, in the rain... A thousand times. You never fall.",robb stark
Don't ever say that.,robb stark
It's nine years since I've set foot in the capital. And no one knew who I was the last time I came either.,catelyn stark
I would. We've done nothing wrong.,catelyn stark
"Instructed? I don't know who's providing your instructions, but...",catelyn stark
Cat! Go on. Go upstairs.,petyr baelish
You little worm! You take me for some back-alley Sally you can drag into a…,catelyn stark
I meant no disrespect to you of all people.,petyr baelish
How dare you bring me here! Have you lost your mind?,catelyn stark
No one will come looking for you here. Isn't that what like you wanted? I'm truly sorry... about the locale.,petyr baelish
How did you know I was coming to King's Landing?,catelyn stark
A dear friend told me.,petyr baelish
Lady Stark.,varys
Lord Varys.,catelyn stark
To see you again after so many years is a blessing. Your poor hands.,varys
How did you know I was coming?,catelyn stark
"Knowledge is my trade, my Lady. Did you bring the dagger with you, by any chance? My little birds are everywhere. Even in the north. They whisper to me the strangest stories. Valyrian steel.",varys
Do you know whose dagger this is?,catelyn stark
I must admit I do not.,varys
"Well well, this is an historic day. Something you don't know that I do. There's only one dagger like this in all of the Seven Kingdoms. It's mine.",petyr baelish
Yours?,catelyn stark
"At least it was, until the tournament on Prince Joffrey's last nameday. I bet on Ser Jaime in the jousting, as any sane man would. When the Knight of the Flowers unseated him, I lost this dagger.",petyr baelish
To whom?,catelyn stark
Tyrion Lannister. The Imp.,petyr baelish
A charming man.,tyrion lannister
"And how's that going, Commander Mormont?",tyrion lannister
Good news or bad?,tyrion lannister
Good news? Perhaps you'd like to share it with your wife?,petyr baelish
Is she?,petyr baelish
I thought that she'd be safest in here. One of several such establishments I own.,petyr baelish
Ned! [poking her head out of a window],catelyn stark
"The Starks... Quick tempers, slow minds.",petyr baelish
It's an improvement.,jon snow
I'm looking at you. You've got an interesting face. Very distinctive faces. All of you.,tyrion lannister
"It's just I think they would look marvelous decorating spikes in King's Landing. Perhaps I'll write my sister, the Queen, about it.",tyrion lannister
Everybody knew what this place was and no one told me. No one but you. My father knew and left me to rot here at the Wall all the same.,jon snow
Grenn's father left him too... Outside a farmhouse when he was three. Pyp was caught stealing a wheel of cheese. His little sister hadn't eaten in three days. He was given a choice,tyrion lannister
They hate me because I'm better than they are.,jon snow
It's a lucky thing none of them were trained by a master-at-arms like your Ser Rodrik. I don't imagine any of them have ever held a real sword before they came here. Your brother Bran. He's woken up.,tyrion lannister
The mere suggestion that the Queen's brother tried to kill your boy would be considered treason.,petyr baelish
We have proof. We have the blade.,catelyn stark
"Which Lord Tyrion will say was stolen from him. The only man who could say otherwise has no throat, thanks to your boy's wolf.",petyr baelish
Petyr has promised to help us find the truth. He's like a little brother to me. He would never betray my trust.,catelyn stark
"I'll try to keep you alive, for her sake. A fool's task, admittedly, but I've never been able to refuse your wife anything.",petyr baelish
I won't forget this. You're a true friend.,catelyn stark
Don't tell anyone. I have a reputation to maintain.,petyr baelish
How could you be so stupid?,cersei lannister
Calm down.,jaime lannister
He's a child... 10 years old. What were you thinking?,cersei lannister
I was thinking of us. You're a bit late to start complaining about it now. What has the boy told them?,jaime lannister
Nothing. He's said nothing. He remembers nothing.,cersei lannister
Then what are you raving about?,jaime lannister
What if it comes back to him? If he tells his father what he saw...,cersei lannister
We'll say he was lying. We'll say he was dreaming. We'll say whatever we like. I think we can outfox a 10-year-old.,jaime lannister
And my husband?,cersei lannister
I'll go to war with him if I have to. They can write a ballad about us,jaime lannister
Let me go.,cersei lannister
Never.,jaime lannister
"The boy won't talk. And if he does, I'll kill him. Him, Ned Stark, the King... the whole bloody lot of them, until you and I are the only people left in this world.",jaime lannister
I wish I could see the girls.,catelyn stark
Just for a moment.,catelyn stark
"I know they did it, Ned. The Lannisters. In my bones, I know it.",catelyn stark
And if you find the proof?,cersei lannister
"My temper? Gods be good, you nearly killed poor Littlefinger yesterday.",catelyn stark
Does he?,catelyn stark
One of the outlaws in the Brotherhood.,jaime lannister
You killed Simon Toyne with a counter riposte. Best move I ever saw.,jaime lannister
"I cut his head off, so no.",jaime lannister
"He said the same thing he'd been saying for hours... ""Burn them all."" If that's all, your Grace...",jaime lannister
The Dothraki don't believe in money. Most of their slaves were given to them as gifts.,jorah mormont
From whom?,daenerys targaryen
"If you rule a city and you see the horde approaching, you have two choices",jorah mormont
Tell them all to stop.,daenerys targaryen
You want the entire horde to stop? For how long?,jorah mormont
Until I command them otherwise.,daenerys targaryen
You're learning to talk like a Queen.,jorah mormont
Not a Queen. A Khaleesi.,daenerys targaryen
No!,daenerys targaryen
"Please please, don't hurt him. Tell him I don't want my brother harmed.",daenerys targaryen
"Shall we return to the Khalasar, Khaleesi?",jorah mormont
You're leaving?,jon snow
What kind of reports?,jon snow
m ready. I won't let you down.,jon snow
But I'm better than every...,jon snow
You're joking?,tyrion lannister
And how do a bear's balls taste?,tyrion lannister
"Do Dornish girls count? So you roam the Seven Kingdoms, collaring pickpockets and horse thieves and bringing them here as eager recruits?",tyrion lannister
They have a better chance finding feed than glory.,tyrion lannister
"You don't have enough men to be an army and aside from Yoren here, none of you are particularly funny.",tyrion lannister
"Do you think I'm plump? Listen, Benjen... May I call you Benjen?",tyrion lannister
I'm not sure what I've done to offend you. I have great admiration for the Night's Watch. I've great admiration for you as First Ranger.,tyrion lannister
"But... I don't believe that giants and ghouls and White Walkers are lurking beyond the Wall. I believe that the only difference between us and the wildlings is that when the Wall went up, our ancestors happened to live on the right side of it.",tyrion lannister
"I think he's starting to like me. ""Going below""?",tyrion lannister
So you're heading down to King's Landing too.,tyrion lannister
Let's share the road. I could use some decent company.,tyrion lannister
Not this time. We'll be staying at the finest castles and inns. No one turns away a Lannister.,tyrion lannister
What are you doing?,daenerys targaryen
"For a man on horseback, the curved blade is a good thing, easier to handle. It's a good weapon for a Dothrakan. But a man in full plate... the arakh won't get through the steel. That's where the broadsword has the advantage. Designed for piercing plate.",jorah mormont
Armor.,jorah mormont
Slow.,jorah mormont
"It's true, but it also keeps a man alive.",jorah mormont
I've heard that your father was a famous warrior.,jorah mormont
He still is. A man of great honor. And I betrayed him.,jorah mormont
I don't think she wants to eat dog.,jorah mormont
I'll have the boys butcher a goat for supper. I need to ride to Qohor.,jorah mormont
Don't worry. I'll catch you. The horde's easy to find.,jorah mormont
Don't stand so still. It's harder to hit a moving target. Except for you. You move too much. I could just hold my sword out and let you do the work for me.,jon snow
"Eight... no, nine.",tyrion lannister
"They say the winter of my birth was three years long, Maester Aemon.",tyrion lannister
"Yes, and the fishermen of Lannisport say they see mermaids.",tyrion lannister
It's a boy.,daenerys targaryen
I know.,daenerys targaryen
"I'm sorry to see you leave, Lannister.",jon snow
